player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Markieff Morris,MIA,32,205.74,111.13004,1,1,2011,1,13,17,7.6,2.6,1.4,4.5,0.059,0.089,0.197,0.547,0.116
Jimmy Butler,MIA,32,200.66,104.32616,1,1,2011,1,30,57,21.4,5.9,5.5,6.1,0.055,0.125,0.26,0.592,0.264
Jonas Valanciunas,NOP,30,210.82,120.20188,0,0,2011,1,5,74,17.8,11.4,2.6,1.2,0.1,0.28,0.238,0.617,0.137
Kemba Walker,NYK,32,182.88,83.460928,1,1,2011,1,9,37,11.6,3,3.5,-9.1,0.014,0.099,0.202,0.537,0.22
Alec Burks,NYK,30,198.12,97.068688,1,1,2011,1,12,81,11.7,4.9,3,2.3,0.019,0.148,0.171,0.559,0.158
Tobias Harris,PHI,29,200.66,102.511792,1,1,2011,1,19,73,17.2,6.8,3.5,3.2,0.032,0.164,0.214,0.566,0.158
Bismack Biyombo,PHX,29,203.2,115.66596,0,0,2011,1,7,36,5.8,4.6,0.6,5.6,0.117,0.207,0.167,0.596,0.064
Bojan Bogdanovic,UTA,33,200.66,102.511792,0,0,2011,2,31,69,18.1,4.3,1.7,4.8,0.027,0.106,0.232,0.599,0.086
Andre Drummond,BKN,28,208.28,126.552168,1,1,2012,1,9,73,7.9,9.3,1.8,2.4,0.155,0.305,0.181,0.574,0.13
Austin Rivers,DEN,29,193.04,90.7184,1,1,2012,1,10,67,6,1.7,1.3,1.9,0.014,0.063,0.123,0.546,0.082
Will Barton,DEN,31,195.58,82.100152,1,1,2012,2,40,71,14.7,4.8,3.9,2,0.02,0.128,0.205,0.548,0.171
Draymond Green,GSW,32,198.12,104.32616,1,1,2012,2,35,46,7.5,7.3,7,7.2,0.034,0.204,0.14,0.582,0.325
Anthony Davis,LAL,29,208.28,114.758776,1,1,2012,1,1,40,23.2,9.9,3.1,-3,0.072,0.196,0.263,0.578,0.147
Khris Middleton,MIL,30,200.66,100.697424,1,1,2012,2,39,66,20.1,5.4,5.4,5.4,0.019,0.136,0.255,0.577,0.246
Evan Fournier,NYK,29,198.12,92.98636,0,0,2012,1,20,80,14.1,2.6,2.1,-2.7,0.013,0.073,0.201,0.554,0.114
Terrence Ross,ORL,31,198.12,93.439952,1,1,2012,1,8,63,10,2.6,1.8,-11.9,0.013,0.094,0.196,0.515,0.127
Jae Crowder,PHX,31,198.12,106.59412,1,1,2012,2,34,67,9.4,5.3,1.9,10.2,0.017,0.16,0.146,0.541,0.08
Damian Lillard,POR,31,187.96,88.45044,1,1,2012,1,6,29,24,4.1,7.3,-1.8,0.012,0.104,0.288,0.55,0.321
Harrison Barnes,SAC,30,203.2,102.0582,1,1,2012,1,7,77,16.4,5.6,2.4,-6.7,0.031,0.135,0.184,0.623,0.103
Jeremy Lamb,SAC,30,195.58,81.64656,1,1,2012,1,12,56,7.3,2.8,1.4,0.6,0.026,0.134,0.189,0.521,0.124
Maurice Harkless,SAC,29,200.66,99.79024,1,1,2012,1,15,47,4.6,2.4,0.5,-4.2,0.014,0.114,0.112,0.561,0.035
Bradley Beal,WAS,29,193.04,93.893544,1,1,2012,1,3,40,23.2,4.7,6.6,-3.5,0.026,0.099,0.297,0.539,0.309
Tomas Satoransky,WAS,30,200.66,95.25432,0,0,2012,2,32,55,3.6,2.3,3.3,-8,0.029,0.11,0.124,0.461,0.285
Gorgui Dieng,ATL,32,208.28,112.490816,1,0,2013,1,21,44,3.5,2.8,0.8,-9.2,0.083,0.238,0.164,0.624,0.155
Solomon Hill,ATL,31,198.12,102.511792,1,1,2013,1,23,13,0.6,1.8,0.9,14.3,0.043,0.115,0.064,0.2,0.117
Mason Plumlee,CHA,32,210.82,115.212368,1,1,2013,1,22,73,6.5,7.7,3.1,0.9,0.091,0.205,0.117,0.603,0.165
Trey Burke,DAL,29,182.88,83.91452,1,1,2013,1,9,42,5.1,0.8,1.4,-0.5,0.009,0.064,0.25,0.475,0.219
Tim Hardaway Jr.,DAL,30,195.58,92.98636,1,1,2013,1,24,42,14.2,3.7,2.2,1.3,0.01,0.114,0.214,0.52,0.115
Reggie Bullock,DAL,31,198.12,92.98636,1,1,2013,1,25,68,8.6,3.5,1.2,6.6,0.017,0.106,0.128,0.558,0.06
James Ennis III,DEN,31,198.12,97.52228,1,1,2013,2,50,7,4.1,1.7,0.4,0.9,0.086,0.121,0.206,0.553,0.081
Kelly Olynyk,DET,31,210.82,108.86208,1,0,2013,1,13,40,9.1,4.4,2.8,-4.9,0.067,0.17,0.207,0.561,0.214
Otto Porter Jr.,GSW,29,203.2,89.811216,1,1,2013,1,3,63,8.2,5.7,1.5,6.8,0.06,0.189,0.145,0.581,0.097
Dennis Schroder,HOU,28,185.42,78.017824,0,0,2013,1,17,64,13.5,3.3,4.6,-1,0.018,0.097,0.223,0.539,0.256
Steven Adams,MEM,28,210.82,120.20188,1,0,2013,1,12,76,6.9,10,3.4,8.3,0.159,0.198,0.118,0.56,0.155
